2025-09-13 17:09:16,355 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,355 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,355 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,355 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,355 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,355 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,355 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,355 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,356 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,356 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,358 - course_scheduler.app.gui.schedule_report - INFO - Schedule report updated with 5 schedules
2025-09-13 17:09:16,358 - course_scheduler.app.gui.main_window - INFO - Generated 5 schedules
2025-09-13 17:09:16,364 - course_scheduler.app.gui.main_window - INFO - Course selection completed: 3 courses selected
2025-09-13 17:09:21,541 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:21,541 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:27,567 - course_scheduler.app.gui.schedule_report - INFO - Schedule images exported to: C:/Users/PC/Desktop
2025-09-13 17:10:01,677 - course_scheduler.app.gui.schedule_report - INFO - Schedule exported to Excel: C:/Users/PC/Desktop/aaa.xlsx
2025-09-13 17:10:11,627 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:11,627 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:11,628 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:11,628 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:11,628 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:11,628 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:11,628 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:11,628 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:11,628 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:11,628 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:11,629 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:11,629 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:11,994 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:11,994 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:11,994 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:11,994 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:11,995 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:11,995 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:11,995 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:11,995 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:11,995 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:11,995 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:11,995 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:11,995 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,159 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,159 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,159 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,159 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,160 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,160 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,160 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,160 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,160 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,160 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,161 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,161 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,324 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,324 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,324 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
